Priority Development Areas,Regional COG/MPO or Local Jurisdiction
Redevelopment Analysis Geographies,Regional COG/MPO or Local Jurisdiction
Planned Development (in the pipeline) locations and attributes,Regional COG/MPO or Local Jurisdiction
Transit Priority Zones,Regional COG/MPO or Local Jurisdiction
General Plan Parcels and attributes,Regional COG/MPO or Local Jurisdiction
Any existing RTP/SCS scenarios - geographies and attributes,Regional COG/MPO or Local Jurisdiction
Any other existing scenarios - geographies and attributes,Regional COG/MPO or Local Jurisdiction
Any other geography used to inform policy on distribution of growth,Regional COG/MPO or Local Jurisdiction
